Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
2-pack-of-menicon-lacripure-serile-saline-solution-98-vials-x-2-scleral-lenses,2-Pack of Menicon Lacripure Sterile Saline Solution - (98 Vials x 2) Scleral Lenses,"<p>2-Pack of Menicon Lacripure Sterile Saline Solution - (98 Vials x 2) Scleral Lenses What it is: LacriPure is a unit-dose non-preserved, 0.9% NaCl (normal saline) solution indicated for rinsing soft, rigid gas permeable and hybrid contact lenses prior to insertion. The sterile saline solution is also indicated for filli</p>",Menicon,,Contact Lens Solution,scleral lens,true,Title,Default Title,,0,shopify,100,deny,manual,79.95,,true,true,,http://dryeyerescue.com/cdn/shop/products/lacripure-saline-solution-product-shot-cir-2-pack-plain-149853.png?v=1686905303,1,2-Pack of Menicon Lacripure Sterile Saline Solution - (98 Vials x 2) Scleral Lenses,2-Pack of Menicon Lacripure Sterile Saline Solution - (98 Vials x 2) Scleral Lenses,"2-Pack of Menicon Lacripure Sterile Saline Solution - (98 Vials x 2) Scleral Lenses What it is: LacriPure is a unit-dose non-preserved, 0.9% NaCl (normal saline) solution indicated for rinsing soft, rigid gas permeable and hybrid contact lenses prior to insertion. The sterile saline solution is also indicated for filli",active
2-pack-of-menicon-lacripure-serile-saline-solution-98-vials-x-2-scleral-lenses,,,,,,,,,,,,,,,,,,,,,https://dryeyerescue.com/cdn/shop/products/lacripure-saline-solution-product-shot-cir-2-pack-plain-149853.png?v=1686905303,2,2-Pack of Menicon Lacripure Sterile Saline Solution - (98 Vials x 2) Scleral Lenses,,,
acuicyn-antimicrobial-eyelid-eyelash-hygiene,Acuicyn Antimicrobial Eyelid &amp; Eyelash Hygiene - Hypochlorous Solution,"<p>Antimicrobial Eyelid &amp;amp; Eyelash Hygiene Acuicyn™ Antimicrobial Eyelid and Eyelash Hygiene removes encrustation and debris, to help manage red, inflamed, itchy eyes. Available in 40 mL and 80 mL Contains Pure Hypochlorous Acid (HOCl) Antimicrobial in solution Breaks down biofilm in 30 seconds Maintains HOCl stability</p>",,,Contact Lens Solution,hypochlorous,true,Title,Default Title,,0,shopify,100,deny,manual,49.95,,true,true,,http://dryeyerescue.com/cdn/shop/products/acuicyn-antimicrobial-cir-a-2-605438.png?v=1682370883,1,Acuicyn Antimicrobial Eyelid &amp; Eyelash Hygiene - Hypochlorous Solution,Acuicyn Antimicrobial Eyelid &amp; Eyelash Hygiene - Hypochlorous Solution,"Antimicrobial Eyelid &amp;amp; Eyelash Hygiene Acuicyn™ Antimicrobial Eyelid and Eyelash Hygiene removes encrustation and debris, to help manage red, inflamed, itchy eyes. Available in 40 mL and 80 mL Contains Pure Hypochlorous Acid (HOCl) Antimicrobial in solution Breaks down biofilm in 30 seconds Maintains HOCl stability",active
acuicyn-antimicrobial-eyelid-eyelash-hygiene,,,,,,,,,,,,,,,,,,,,,https://dryeyerescue.com/cdn/shop/products/acuicyn-antimicrobial-cir-a-2-605438.png?v=1682370883,2,Acuicyn Antimicrobial Eyelid &amp; Eyelash Hygiene - Hypochlorous Solution,,,
acuvue-revitalens-multi-purpose-disinfecting-solution-10-oz-pack-of-2,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 2),"<p>2-Pack of Menicon Lacripure Sterile Saline Solution - (98 Vials x 2) Scleral Lenses What it is: New to the ACUVUE family, the most trusted brand of contact lenses by eye doctors. Delivers all-day comfort and exceptional disinfection. The unique formulation with dual-disinfecting technology effectively kills harmful bac</p>",ACUVUE,,Contact Lens Solution,scleral lens,true,Title,Default Title,,0,shopify,100,deny,manual,17.95,,true,true,,http://dryeyerescue.com/cdn/shop/products/acuvue-revita-lens-shot-2-pack-cir-a-232817.png?v=1682370878,1,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 2),ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 2),"2-Pack of Menicon Lacripure Sterile Saline Solution - (98 Vials x 2) Scleral Lenses What it is: New to the ACUVUE family, the most trusted brand of contact lenses by eye doctors. Delivers all-day comfort and exceptional disinfection. The unique formulation with dual-disinfecting technology effectively kills harmful bac",active
acuvue-revitalens-multi-purpose-disinfecting-solution-10-oz-pack-of-2,,,,,,,,,,,,,,,,,,,,,https://dryeyerescue.com/cdn/shop/products/acuvue-revita-lens-shot-2-pack-cir-a-232817.png?v=1682370878,2,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 2),,,
acuvue-revitalens-multi-purpose-disinfecting-solution-10-oz-pack-of-3,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 3),"<p>ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 3) What it is: ACUVUE™ RevitaLens MPDS is new to the ACUVUE® Family, the most trusted brand of contact lenses by eye doctors. ACUVUE™ RevitaLens MPDS provides exceptional disinfection and all-day comfort. Its unique formulation with dual-disinfecting</p>",ACUVUE,,Contact Lens Solution,,true,Title,Default Title,,0,shopify,100,deny,manual,25.95,,true,true,,http://dryeyerescue.com/cdn/shop/products/acuvue-revita-10oz-product-shot-3pack-cir-a-242336.png?v=1682370878,1,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 3),ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 3),"ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 3) What it is: ACUVUE™ RevitaLens MPDS is new to the ACUVUE® Family, the most trusted brand of contact lenses by eye doctors. ACUVUE™ RevitaLens MPDS provides exceptional disinfection and all-day comfort. Its unique formulation with dual-disinfecting",active
acuvue-revitalens-multi-purpose-disinfecting-solution-10-oz-pack-of-3,,,,,,,,,,,,,,,,,,,,,https://dryeyerescue.com/cdn/shop/products/acuvue-revita-10oz-product-shot-3pack-cir-a-242336.png?v=1682370878,2,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 3),,,
acuvue™-revitalens-multi-purpose-disinfecting-solution-10oz-lens-case-2,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution (10oz + Lens Case),"<p>Kills greater than 99.9% of Bacteria Delivers all-day comfort1 New Flip Top Cap stays open while you pour Dual-disinfecting technology effectively kills harmful germs and bacteria1 A great match with soft contact lenses, including ACUVUE®&amp;Brand Contact Lenses.</p>",ACUVUE,,Contact Lens Solution,,true,Title,Default Title,,0,shopify,100,deny,manual,14.95,,true,true,,http://dryeyerescue.com/cdn/shop/products/acuvue-revita-10oz-cir-a-2-676652.png?v=1682370879,1,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution (10oz + Lens Case),ACUVUE RevitaLens Multi-Purpose Disinfecting Solution (10oz + Lens Case),"Kills greater than 99.9% of Bacteria Delivers all-day comfort1 New Flip Top Cap stays open while you pour Dual-disinfecting technology effectively kills harmful germs and bacteria1 A great match with soft contact lenses, including ACUVUE®&amp;Brand Contact Lenses.",active
acuvue™-revitalens-multi-purpose-disinfecting-solution-10oz-lens-case-2,,,,,,,,,,,,,,,,,,,,,https://dryeyerescue.com/cdn/shop/products/acuvue-revita-10oz-cir-a-2-676652.png?v=1682370879,2,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution (10oz + Lens Case),,,
