Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Variant Inventory Qty,Metafield: custom.doctors_take [multi_line_text_field]
dry-eye-starter-basket-omega-3-cleanser,Dry Eye Starter Basket (Omega-3 + Cleanser),"<p><strong>The essential daily routine for dry eye relief.</strong></p><p>Combining the internal healing power of PRN Omega-3s with the external cleaning of Ocusoft Lid Scrub Foam. Doctor Bonakdar's recommended starter kit.</p><p><strong>Includes:</strong></p><ul>
<li>1x PRN DE3 Dry Eye Omega Benefits (90ct - 1 Month Supply)</li>
<li>1x Ocusoft Lid Scrub Plus Foam (50ml)</li>
</ul>",DryEyeLA Bundles,,Bundle,"Bundle, Ocusoft, PRN, Starter Kit",true,Title,Default Title,,,,,,,,BUNDLE-STARTER-KIT,0.0,shopify,continue,manual,69.00,72.95,true,true,,,,,,,,,false,Dry Eye Starter Basket (Omega-3 + Cleanser),"The essential daily routine for dry eye relief.Combining the internal healing power of PRN Omega-3s with the external cleaning of Ocusoft Lid Scrub Foam. Doctor Bonakdar's recommended starter kit.Includes:
1x PRN DE3 Dry Eye Omega Benefits (90ct - 1 Month Supply)
1x Ocusoft Lid Scrub Plus Foam (50ml",,,,,,,,,,,,,,,,lb,,,active,10,
90-day-dry-eye-relief-basket-omega-3-supply,90-Day Dry Eye Relief Basket (Omega-3 Supply),<p><strong>Doctor Recommended 3-Month Regimen.</strong></p><p>This pre-made basket includes a complete 90-day supply of PRN DE3 Dry Eye Omega Benefits (270 softgels). The gold standard for treating the root cause of dry eye from within.</p><p><strong>Includes:</strong></p><ul><li>1x PRN DE3 Dry Eye Omega Benefits (270ct Bottle)</li></ul>,DryEyeLA Bundles,,Bundle,"Best Seller, Bundle, Omega-3, PRN",true,Title,Default Title,,,,,,,,BUNDLE-OMEGA-90,0.0,shopify,continue,manual,162.00,,true,true,,,,,,,,,false,90-Day Dry Eye Relief Basket (Omega-3 Supply),Doctor Recommended 3-Month Regimen.This pre-made basket includes a complete 90-day supply of PRN DE3 Dry Eye Omega Benefits (270 softgels). The gold standard for treating the root cause of dry eye from within.Includes:1x PRN DE3 Dry Eye Omega Benefits (270ct Bottle),,,,,,,,,,,,,,,,lb,,,active,10,
dryeyela-gift-card,DryEyeLA Gift Card,The perfect gift for dry eye relief. detailed instructions on how to redeem at checkout.,DryEyeLA,,Gift Card,Gift Card,true,Denomination,$25.00,,,,,,,,GC-25,0.0,shopify,continue,manual,25.00,,true,true,,,,,,,,,false,DryEyeLA Gift Card,The perfect gift for dry eye relief. detailed instructions on how to redeem at checkout.,,,,,,,,,,,,,,,,lb,,,active,10,
dryeyela-gift-card,,,,,,,,,$50.00,,,,,,,,GC-50,0.0,shopify,continue,manual,50.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active,10,
dryeyela-gift-card,,,,,,,,,$100.00,,,,,,,,GC-100,0.0,shopify,continue,manual,100.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active,10,
copy-of-scleralfil-preservative-free-saline-solution-for-scleral-soft-rigid-gas-permeable-lenses-buffered-solution-single-use-vials-0-34-fl-oz-3-packs-of-30,"ScleralFil Preservative Free Saline Solution for Scleral, Soft, & Rigid Gas Permeable Lenses, Buffered Solution, Single-Use Vials, 0.34 Fl Oz (3-Packs of 30)","<p><span>Product Name: Bausch + Lomb ScleralFil Buffered Isotonic Saline Solution for Contact Lenses - 10ml Single-Use Vials (30-Day Supply)</span><br><br><span>**Product Description:**</span><br><span>Bausch + Lomb Specialty Vision Products presents ScleralFil, an innovative lens care solution indicated as a scleral insertion solution. This sterile and buffered isotonic saline solution is designed for rinsing and inserting scleral lenses. Moreover, it is suitable for use with both soft and rigid gas permeable contact lenses.</span><br><br><span>**Key Features:**</span><br><span>- **Saline Solution for Contact Lenses:** ScleralFil is a sterile, buffered isotonic saline solution specifically formulated for scleral, soft, and rigid gas permeable contact lenses.</span><br><span>- **Buffered Contact Lens Solution:** This saline solution is buffered to maintain a stable pH level, ensuring compatibility with various types of contact lenses, especially scleral lenses.</span><br><span>- **Travel-Friendly Design:** ScleralFil comes in convenient single-use 10ml vials that stand upright for ease of use. Simply twist off the plastic cap to access the solution, making it a perfect travel companion.</span><br><span>- **Eye Care Experts:** With over 150 years of experience, Bausch + Lomb has been dedicated to innovation and quality in eye care products. Their range includes contact lenses, solutions, eye drops, ointments, eye vitamins, and more.</span><br><span>- **Comprehensive Eye Care:** Bausch + Lomb offers a wide range of eye care products, from contact lens solutions to eye drops, vitamins, and ointments, all designed to ensure your eyes feel comfortable, moisturized, and protected.</span><br><br><span>**Additional Information:**</span><br><span>- ScleralFil is buffered to maintain the optimal pH level for lens care.</span><br><span>- Each carton contains a 30-day supply, providing you with long-lasting convenience.</span><br><span>- This solution is suitable for a variety of lenses, including soft and gas permeable lenses.</span><br><br><span>Ensure your contact lenses receive the care they deserve with Bausch + Lomb's ScleralFil Buffered Isotonic Saline Solution, the ideal choice for keeping your lenses comfortable and your eyes feeling refreshed.</span></p>
<ul class=""a-unordered-list a-vertical""></ul>",BAUSCH+LOMB,Health & Beauty > Health Care,Scleral Solution,"Bausch&Lomb, Baush + Lomb, Contact Lens Cleaners, Contact Lens Solution, Kopy, No Locator, Saline, Scleral, volume_discounts, Wholesale Inventory",true,Title,Default Title,,,,,,,,1977-027-3,620.0,shopify,continue,manual,69.95,89.95,true,true,,,,,'310119303696,https://cdn.shopify.com/s/files/1/0276/9167/9833/files/sclerafil-saline-solution-2-pack-cir-a-330044_5f867b92-18c0-41f5-9b1c-c96c7c1acd4f.png?v=1702573394,1,,false,"ScleralFil Preservative Free Saline Solution for Scleral, Soft, & Rigid Gas Permeable Lenses, Buffered Solution, Single-Use Vials, 0.34 Fl Oz (3-Packs of 30)","Product Name: Bausch + Lomb ScleralFil Buffered Isotonic Saline Solution for Contact Lenses - 10ml Single-Use Vials (30-Day Supply)**Product Description:**Bausch + Lomb Specialty Vision Products presents ScleralFil, an innovative lens care solution indicated as a scleral insertion solution. This ste",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0276/9167/9833/files/sclerafil-saline-solution-2-pack-cir-a-330044_5f867b92-18c0-41f5-9b1c-c96c7c1acd4f.png?v=1702573394,kg,,26.85,active,10,
eyegiene-insta-warmth-refills-30-pairs-of-inserts,EyeGiene Insta-Warmth REFILLS (30 Pairs of Inserts),"<div class=""col-md-5 mb-4 mb-lg-0"" data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""color: #6f5091;""><strong>EyeGiene® 30-Packs of 2 Inserts/pack</strong></span></p>
<p>Lightweight, NO-Microwave Instant Heating wafer which inserting into the mask. Optimal Heat for MGD for 15-25 minutes. Perfect for Sleeping and Treating at the same time.</p>
<p>The EyeGiene® Insta-Warmth System applies calibrated warmth to your eyelid, opening the meibomian gland and thinning the oil. This facilitates flow and stabilizes the natural tear film, allowing the tear film to function normally.</p>
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li><span class=""a-list-item"">CONVENIENT, EASY TO USE, &amp; EFFECTIVE DRY EYE RELIEF use anytime, anywhere, without need for microwave, hot water, or stove (no mess or fuss)</span></li>
<li><span class=""a-list-item"">Helps relieve discomfort of EYE FATIGUE and computer EYE STRAIN</span></li>
<li><span class=""a-list-item"">SOOTHING, COMFORTABLE HEAT THAT LASTS. It feels like a spa treatment for your eyes!</span></li>
<li><span class=""a-list-item"">SAFE, NATURAL TREATMENT FOR dry eyes, blepharitis, and styes. FDA reviewed treatment invented by board-certified ophthalmologist.</span></li>
<li><span class=""a-list-item"">30 disposable Warming Wafer pairs</span></li>
</ul>
<p data-mce-fragment=""1"">EyeGiene® began with a simple vision: providing safe and natural relief to sufferers of dry eye. Board Certified Ophthalmologist Barry J. Linder MD, MS, knew the benefits of heat therapy as a treatment for dry eye disease but realized it was not an accessible option to all patients. Dr. Linder set out to address this problem with the creation of the EyeGiene® Insta-Warmth System.<br></p>
<p>Our system is uniquely portable and convenient, allowing patients to experience precision heat therapy without needing to boil water or use of a microwave. Today, patients all over the world find dry eye relief through the EyeGiene® Insta-Warmth Systemâ„¢.</p>
</div>
<div class=""col-md-7 d-flex align-items-center justify-content-center text-center"" data-mce-fragment=""1"">
<p data-mce-fragment=""1""><br></p>
</div>",Eyecare Center - Keratoconus,,Eye Masks,"custom dry eye kits, Eye Masks, Eyegiene, Kopy, Quickshop, volume_discounts, Wholesale Inventory",false,Title,Default Title,,,,,,,,DER265,0.0,shopify,continue,manual,29.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0276/9167/9833/products/eye-giene-cir-a-2-832318.png?v=1696549026,1,EyeGiene Insta-Warmth REFILLS (30 Pairs of Inserts) - Dry Eye Treatment,false,EyeGiene Insta-Warmth REFILLS (30 Pairs of Inserts),Buy EyeGiene Insta-Warmth REFILLS (30 Pairs of Inserts) online. Doctor recommended dry eye relief.,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0276/9167/9833/products/eye-giene-cir-a-2-832318.png?v=1696549026,kg,,,active,10,
eyegiene-insta-warmth-refills-30-pairs-of-inserts,,,,,,,,,,,,,,,,,,,shopify,continue,manual,,,,,,,,,,https://cdn.shopify.com/s/files/1/0276/9167/9833/products/eye-giene-cir-a-194537.png?v=1696549026,2,EyeGiene Insta-Warmth REFILLS (30 Pairs of Inserts) - Dry Eye Treatment,,,,,,,,,,,,,,,,,,,,,,active,10,
eyegiene-insta-warmth-refills-30-pairs-of-inserts,,,,,,,,,,,,,,,,,,,shopify,continue,manual,,,,,,,,,,https://cdn.shopify.com/s/files/1/0276/9167/9833/products/eye-giene-cir-b-557465.png?v=1696549026,3,EyeGiene Insta-Warmth REFILLS (30 Pairs of Inserts) - Dry Eye Treatment,,,,,,,,,,,,,,,,,,,,,,active,10,
eyegiene-insta-warmth-refills-30-pairs-of-inserts,,,,,,,,,,,,,,,,,,,shopify,continue,manual,,,,,,,,,,https://cdn.shopify.com/s/files/1/0276/9167/9833/products/eye-giene-cir-c-989055.png?v=1696549026,4,EyeGiene Insta-Warmth REFILLS (30 Pairs of Inserts) - Dry Eye Treatment,,,,,,,,,,,,,,,,,,,,,,active,10,
