Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Variant Inventory Policy,Variant Inventory Tracker,Variant Fulfillment Service,Metafield: custom.doctors_take [multi_line_text_field]
2-pack-of-menicon-lacripure-serile-saline-solution-98-vials-x-2-scleral-lenses,2-Pack of Menicon Lacripure Sterile Saline Solution - (98 Vials x 2) Scleral Lenses,"2-Pack of Menicon Lacripure Sterile Saline Solution - (98 Vials x 2) Scleral Lenses
What it is: 
LacriPure is a unit-dose non-preserved, 0.9% NaCl (normal saline) solution indicated for rinsing soft, rigid gas permeable and hybrid contact lenses prior to insertion. The sterile saline solution is also indicated for filling scleral lenses prior to insertion.

LacriPure’s 5ml blow-fill-seal vials are appropriately sized for all scleral lens diameters and offer the safety of single-use bottles that help to prevent contamination. Because LacriPure contains no buffers or preservatives, the risk of a toxic reaction is significantly reduced.
",Menicon,Dry Eye Products,Contact Lens Care,TRUE,Title,Default Title,DER4493,79.95,TRUE,TRUE,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/2-pack-of-menicon-lacripure-serile-saline-solution-98-vials-x-2-scleral-lenses.png,1,2-Pack of Menicon Lacripure Sterile Saline Solution - (98 Vials x 2) Scleral Lenses,FALSE,2-Pack of Menicon Lacripure Sterile Saline Solution - (98 Vials x 2) Scleral Lenses | Eye Care Center OC,2-Pack of Menicon Lacripure Sterile Saline Solution - (98 Vials x 2) Scleral Lenses,active,continue,shopify,manual,
acuicyn-antimicrobial-eyelid-eyelash-hygiene,Acuicyn Antimicrobial Eyelid & Eyelash Hygiene - Hypochlorous Solution,"Antimicrobial Eyelid &amp; Eyelash Hygiene
Acuicyn™ Antimicrobial Eyelid and Eyelash Hygiene removes encrustation and debris, to help manage red, inflamed, itchy eyes.
Available in 40 mL and 80 mL
Contains Pure Hypochlorous Acid (HOCl)

Antimicrobial in solution
Breaks down biofilm in 30 seconds
Maintains HOCl stability and efficacy for 90 DAYS

Non-toxicNon-irritatingNon-sensitizingSteroid-freeAntibiotic-freeSafe to use on skin around eyesAlcohol-Free
Not all hypochlorous acid (HOCl) solutions are created equal

Acuicyn™ is manufactured in partnership with Sonoma Pharmaceuticals, the first company to stabilize high-quality HOCl to be used as a prescription or physician-dispensed solution across a range of therapeutic spaces with over 10 million patients treated.



Don’t be fooled by others who claim to have superior HOCl solutions. Acuicyn’s original HOCl formulas have been continuously improved over time and have set the standard of quality, stability and efficacy.



Acuicyn™ formula contains pure hypochlorous acid, and is an FDA-cleared antimicrobial products.

What are the key clinical benefits of Performance Stabilized HOCl (hypochlorous acid)?
Hypochlorous acid (HOCl) is a compound that is produced naturally by Neutrophils in the inmmune system to eradicate microorganisms. HOCl immediately relieves itch and pain, kills bacteria and breaks down biofilm, does not sting or irritate skin and oxygenates the cells in the area treated assisting the body in its natural healing process. The Performance Stabilized HOCl has been formulated to deliver maximum benefits safely throughout the life of the product.
Breaks Down Bacterial Biofilm
Biofilm formation is recognized as a serious problem in chronic wound infections. HOCl has antibiofilm activity and actively breaks down biofilm and kills microorganisms within the biofilm. Biofilm characteristics include:


Complex structure of microorganisms that generate a protective shell, allowing bacteria to collect and proliferate


Most microorganisms that form biofilms found growing in microbial infection





",EMC,Dry Eye Products,,TRUE,Title,Default Title,DER1005,49.95,TRUE,TRUE,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/acuicyn-antimicrobial-eyelid-eyelash-hygiene.png,1,Acuicyn Antimicrobial Eyelid & Eyelash Hygiene - Hypochlorous Solution,FALSE,Acuicyn Antimicrobial Eyelid & Eyelash Hygiene - Hypochlorous Solution | Eye Care Center OC,Acuicyn Antimicrobial Eyelid & Eyelash Hygiene - Hypochlorous Solution,active,continue,shopify,manual,
acuvue-revitalens-multi-purpose-disinfecting-solution-10-oz-pack-of-2,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 2),"2-Pack of Menicon Lacripure Sterile Saline Solution - (98 Vials x 2) Scleral Lenses
What it is: 
New to the ACUVUE family, the most trusted brand of contact lenses by eye doctors. Delivers all-day comfort and exceptional disinfection. The unique formulation with dual-disinfecting technology effectively kills harmful bacteria. A great match with leading contact lenses, including ACUVUE Brand contact lenses. Free Lens Case.
Instructions
When you insert your lenses:

1. Wash your hands with soap and water and dry with a lint-free towel prior to handling your lenses.
2. Prior to reapplying lenses, RINSE each side of the lens for 5 seconds with fresh ACUVUE(TM) RevitaLens Multi-Purpose Disinfecting Solution to remove any debris on the lens. RUB, RINSE &amp; SOAK for effective disinfection


When you remove your lenses

1. Wash your hands with soap and water and dry with a lint-free towel prior to handling your lenses.
2. Place 3 or more drops of ACUVUE(TM) RevitaLens Multi-Purpose Disinfecting Solution on one side of the lens surface.
3. RUB your lens gently from the center to the edges for 2 - 4 seconds (never rub in a circular motion, because it may tear the lens and not clean the outer edge surface).
4. Turn the lens over and repeat steps 2 and 3.
5. RINSE each side of the lens for 5 seconds with fresh ACUVUE(TM) RevitaLens Multi-Purpose Disinfecting Solution. Place lenses in a clean lens case and fill with ACUVUE(TM) RevitaLens Multi-Purpose Disinfecting Solution. Close lens case tightly.
6. SOAK - Allow lenses to soak for a minimum of six (6) hours for disinfection, cleaning, and protein removal.


Ingredients
RevitaLens Multi-Purpose Disinfecting Solution
Sterile buffered aqueous solution, alexidine dihydrochloride 0.00016%, polyquaternium-1 0.0003%, boric acid, sodium borate, TETRONIC 904, edetate disodium, sodium citrate, sodium chloride, purified water
  Warnings
ACUVUE RevitaLens Multi-Purpose Disinfecting Solution is indicated for the care of soft (hydrophilic) contact lenses, including silicone hydrogel lenses. Use this product, as recommended by your eye care professional, to disinfect, clean, rinse, store, remove protein and condition your lenses. If you are allergic to any ingredient in ACUVUE RevitaLens MPDS do not use this product. Problems with contact lenses and lens care products could result in corneal infection and/or ulcers and lead to loss of vision. It is essential that you follow your eye care professional's directions and all labeling instructions for proper use of lenses and lens care products, including the lens case. Failure to discard solution from lens case after each use or use of water to care for your lenses may lead to contamination, resulting in eye injury and potential loss of vision. Keep out of the reach of children.",Johnson and Johnson,Dry Eye Products,"Eye Drops, Contact Lens Care",TRUE,Title,Default Title,DER9427,17.95,TRUE,TRUE,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/acuvue-revitalens-multi-purpose-disinfecting-solution-10-oz-pack-of-2.png,1,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 2),FALSE,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 2) | Eye Care Center OC,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 2),active,continue,shopify,manual,
acuvue-revitalens-multi-purpose-disinfecting-solution-10-oz-pack-of-3,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 3),"ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 3)
What it is: 
ACUVUE™ RevitaLens MPDS is new to the ACUVUE® Family, the most trusted brand of contact lenses by eye doctors. ACUVUE™ RevitaLens MPDS provides exceptional disinfection and all-day comfort. Its unique formulation with dual-disinfecting technology effectively kills harmful bacteria that can significantly threaten healthy contact lens wear. Advanced-comfort technology disinfects like a peroxide with the simplicity and all-day comfort of an advanced multi-purpose solution. For healthy, happy eyes, choose ACUVUE™ RevitaLens MPDS.

Benefits



Unique formulation with dual-disinfecting technology effectively kills harmful bacteria.


Delivers exceptional disinfection and all-day comfort.

90% of patients agree that ACUVUE™ RevitaLens MPDS was effective in keeping their contact lenses feeling comfortable.

Nearly 94% of patients found ACUVUE™ RevitaLens MPDS effective in keeping their contact lenses feeling clean.

ACUVUE™ RevitaLens and ACUVUE® Brand Contact Lenses—a tried and tested combination for long-lasting comfort.
",Johnson and Johnson,Dry Eye Products,Contact Lens Care,TRUE,Title,Default Title,DER741,25.95,TRUE,TRUE,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/acuvue-revitalens-multi-purpose-disinfecting-solution-10-oz-pack-of-3.png,1,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 3),FALSE,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 3) | Eye Care Center OC,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution 10 oz (Pack of 3),active,continue,shopify,manual,
acuvue--revitalens-multi-purpose-disinfecting-solution-10oz-lens-case-2,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution (10oz + Lens Case),"






Kills greater than 99.9% of Bacteria



















Delivers all-day comfort1



















New Flip Top Cap stays open while you pour



















Dual-disinfecting technology effectively kills harmful germs and bacteria1



















A great match with soft contact lenses, including ACUVUE® Brand Contact Lenses1






",Johnson and Johnson,Dry Eye Products,Contact Lens Care,TRUE,Title,Default Title,DER326,14.95,TRUE,TRUE,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/acuvue--revitalens-multi-purpose-disinfecting-solution-10oz-lens-case-2.png,1,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution (10oz + Lens Case),FALSE,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution (10oz + Lens Case) | Eye Care Center OC,ACUVUE RevitaLens Multi-Purpose Disinfecting Solution (10oz + Lens Case),active,continue,shopify,manual,
alaway-allergy-eye-drops-preservative-free-antihistamine-eye-drops-20-single-dose-vials-pack-of-2,"Alaway Allergy Eye Drops, Preservative Free Antihistamine Eye Drops, 20 Single-Dose Vials (Pack of 2)","About this item

Alaway Preservative Free antihistamine eye drops help block the release of histamines and reduce allergic inflammation. Alaway works right at the source of eye itch symptoms, and may provide relief to your eyes faster than your typical allergy pills.
FDA Approved: Alaway PF eye drops are the first and only FDA approved preservative free antihistamine eye itch drop.
Preservative Free: Alaway PF antihistamine eye drops do not contain the preservatives that can irritate eyes. This is the first and only FDA approved preservative free antihistamine eye drop available over the counter.
Fast Relief: Alaway PF antihistamine eye drops work in minutes to relieve eye itching and last up to 12 hours to help relieve eye itch due to common causes of eye allergies (including ragweed, grass, pollen, and animal hair and dander).
Contains a 10-day supply of 20 single-dose vials. For adults and children 3 years of age and older.
",Bausch & Lomb,Dry Eye Products,"Eye Drops, Preservative Free",TRUE,Title,Default Title,DER3339,29.95,TRUE,TRUE,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/alaway-allergy-eye-drops-preservative-free-antihistamine-eye-drops-20-single-dose-vials-pack-of-2.png,1,"Alaway Allergy Eye Drops, Preservative Free Antihistamine Eye Drops, 20 Single-Dose Vials (Pack of 2)",FALSE,"Alaway Allergy Eye Drops, Preservative Free Antihistamine Eye Drops, 20 Single-Dose Vials (Pack of 2) | Eye Care Center OC","Alaway Allergy Eye Drops, Preservative Free Antihistamine Eye Drops, 20 Single-Dose Vials (Pack of 2)",active,continue,shopify,manual,
alaway-antihistamine-eye-drops-60-day-supply,Alaway Antihistamine Allergy Eye Drops (60 Day Supply),"

Alaway Antihistamine Eye Drops, 1 Bottle Contains 0.34 FL OZ (10mL)
What it is: Alaway Antihistamine soothes itchy eyes with these Bausch &amp; Lomb Alaway Eye Drops. These antihistamine eye drops are an original prescription strength, so you get fast, effective relief. This 0.34-ounce bottle of anti-itch eye drops is small enough to carry in your pocket or bag but contains enough product for plenty of uses.
Benefits: 

Relieves itchy eyes due to dander, pollen or other irritants
Antihistamine eye drops relieve itching for up to 12hrs for long-lasting comfort
Fast-acting eye drops start working in minutes for quick relief

Instructions: 
Adults and Children 3 Years and Older: Put 1 drop in the affected eye(s) twice daily, every 8-12 hours, no more than twice per day. Children Under 3 Years of Age: Consult a doctor.
Ingredients:
Ketotifen (0.025%) (Equivalent To Ketotifen Fumarate 0.035%). Inactive Ingredients: Benzalkonium Chloride (0.01%), Glycerin, Hydrochloric Acid And/Or Sodium Hydroxide, Water For Injection.


",Bausch & Lomb,Dry Eye Products,Eye Drops,TRUE,Title,Default Title,DER225,16.95,TRUE,TRUE,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/alaway-antihistamine-eye-drops-60-day-supply.png,1,Alaway Antihistamine Allergy Eye Drops (60 Day Supply),FALSE,Alaway Antihistamine Allergy Eye Drops (60 Day Supply) | Eye Care Center OC,Alaway Antihistamine Allergy Eye Drops (60 Day Supply),active,continue,shopify,manual,
alaway-eye-drops-preservative-free-antihistamine-eye-drops-for-up-to-12-hours-of-eye-itch-relief-20-single-dose-vials,"Alaway Eye Drops, Preservative Free Antihistamine Eye Drops for up to 12 Hours of Eye Itch Relief, 20 Single-Dose Vials","About this item

Alaway Preservative Free antihistamine eye drops help block the release of histamines and reduce allergic inflammation. Alaway works right at the source of eye itch symptoms, and may provide relief to your eyes faster than your typical allergy pills.
FDA Approved: Alaway PF eye drops are the first and only FDA approved preservative free antihistamine eye itch drop.
Preservative Free: Alaway PF antihistamine eye drops do not contain the preservatives that can irritate eyes. This is the first and only FDA approved preservative free antihistamine eye drop available over the counter.
Fast Relief: Alaway PF antihistamine eye drops work in minutes to relieve eye itching and last up to 12 hours to help relieve eye itch due to common causes of eye allergies (including ragweed, grass, pollen, and animal hair and dander).
Contains a 10-day supply of 20 single-dose vials. For adults and children 3 years of age and older.
",Bausch & Lomb,Dry Eye Products,"Eye Drops, Preservative Free",TRUE,Title,Default Title,DER4435,19.95,TRUE,TRUE,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/alaway-eye-drops-preservative-free-antihistamine-eye-drops-for-up-to-12-hours-of-eye-itch-relief-20-single-dose-vials.png,1,"Alaway Eye Drops, Preservative Free Antihistamine Eye Drops for up to 12 Hours of Eye Itch Relief, 20 Single-Dose Vials",FALSE,"Alaway Eye Drops, Preservative Free Antihistamine Eye Drops for up to 12 Hours of Eye Itch Relief, 20 Single-Dose Vials | Eye Care Center OC","Alaway Eye Drops, Preservative Free Antihistamine Eye Drops for up to 12 Hours of Eye Itch Relief, 20 Single-Dose Vials",active,continue,shopify,manual,
alcon-systane-hydration-preservative-free-lubricant-eye-drops-30ct-vials-30-count-1,"Alcon Systane Hydration Preservative-Free Lubricant Eye Drops 30ct Vials, 30 Count","Systane hydration moisturizing eye drops by Alcon capture moisture ensuring better hydration and moisturizing effects and provide prolonged, long-lasting relief. 
Systane hydration eye drops also help to regenerate damaged cells on the surface of the eye. 
Systane hydration drops are suitable for providing temporary relief from burning and irritation caused by dry eyes. 
They can also be used for repeated moisturizing of all silicone Hydrogel and soft contact lenses when feeling any mild irritation, discomfort or misted vision. 
Systane hydration drops can be applied directly to the eye and onto the surface of your contact lenses.",Alcon,Dry Eye Products,"Eye Drops, Preservative Free, Contact Lens Care",TRUE,Title,Default Title,DER346,21.95,TRUE,TRUE,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/alcon-systane-hydration-preservative-free-lubricant-eye-drops-30ct-vials-30-count-1.png,1,"Alcon Systane Hydration Preservative-Free Lubricant Eye Drops 30ct Vials, 30 Count",FALSE,"Alcon Systane Hydration Preservative-Free Lubricant Eye Drops 30ct Vials, 30 Count | Eye Care Center OC","Alcon Systane Hydration Preservative-Free Lubricant Eye Drops 30ct Vials, 30 Count",active,continue,shopify,manual,
avenova-eye-health-support-with-maquibright-omega-3-60ct-1-month-supply,Avenova Eye Health Support with MaquiBright & Omega-3 (60ct 1 Month Supply),"Support dry, tired, irritated eyes from the inside out. AVENOVA Eye Health Support Oral Supplements feature game changing MaquiBright®, a nutrient-rich, antioxidant-dense extract of superfruit Maqui Berry found only in the wild forests of Patagonia. Together with concentrated, unrefined Omega 3 oil, MaquiBright® delivers essential nutrients and free radical fighters to help soothe dry eyes and support overall eye health*.

EYE HEALTH SUPPORT – Delivers essential nutrients and antioxidants to help support overall eye health*

PATENTED MAQUIBRIGHT® – Potent extract of nutrient-dense maqui berry, a superfruit rich with 3x the antioxidant potency of even blueberries and found only in the Patagonia region
HIGH QUALITY OMEGA-3s – Concentrated Omega-3 wild-caught fish oil with DHA and EPA in natural, triglyceride form for optimal absorption
TRUSTED QUALITY – Non-GMO, gluten-free and manufactured under strict GMP guidelines
EASY - Take just 1 softgel twice daily with food or as directed by your healthcare professional 
",NovaBay,Dry Eye Products,Supplements,TRUE,Title,Default Title,DER5549,34.95,TRUE,TRUE,https://raw.githubusercontent.com/Mobo4/dryeyela-hydrogen/main/public/products_processed/avenova-eye-health-support-with-maquibright-omega-3-60ct-1-month-supply.png,1,Avenova Eye Health Support with MaquiBright & Omega-3 (60ct 1 Month Supply),FALSE,Avenova Eye Health Support with MaquiBright & Omega-3 (60ct 1 Month Supply) | Eye Care Center OC,Avenova Eye Health Support with MaquiBright & Omega-3 (60ct 1 Month Supply),active,continue,shopify,manual,
